country,sex,age_group,year,long_term_unemployed_thousands
arm,mf,adult,2009,88.81300354003906
arm,m,total,2009,46.81399917602539
arm,m,youth,2009,10.055999755859375
arm,m,adult,2009,36.757999420166016
arm,f,total,2009,64.68199920654297
arm,f,youth,2009,12.626999855041504
arm,f,adult,2009,52.05500030517578
arm,mf,total,2010,143.125
arm,mf,youth,2010,29.51300048828125
arm,mf,adult,2010,113.61199951171875
arm,m,total,2010,56.191001892089844
arm,m,youth,2010,12.45300006866455
arm,m,adult,2010,43.737998962402344
arm,f,total,2010,86.93399810791016
arm,f,youth,2010,17.059999465942383
arm,f,adult,2010,69.8740005493164
arm,mf,total,2011,140.0659942626953
arm,mf,youth,2011,26.56800079345703
arm,mf,adult,2011,113.49800109863281
arm,mf,total,2012,129.3090057373047
arm,mf,youth,2012,23.448999404907227
arm,mf,adult,2012,105.86000061035156
abw,mf,total,1994,0.3499999940395355
abw,m,total,1994,0.17000000178813934
abw,f,total,1994,0.17000000178813934
abw,mf,total,1997,1.059999942779541
abw,m,total,1997,0.6449999809265137
abw,f,total,1997,0.41499999165534973
aus,mf,total,1980,78.3550033569336
aus,mf,youth,1980,36.4900016784668
aus,mf,adult,1980,41.8650016784668
aus,m,total,1980,42.13999938964844
aus,m,youth,1980,16.15999984741211
aus,m,adult,1980,25.979999542236328
aus,f,total,1980,36.21500015258789
aus,f,youth,1980,20.329999923706055
aus,f,adult,1980,15.885000228881836
aus,mf,total,1981,76.81199645996094
aus,mf,youth,1981,33.277000427246094
aus,mf,adult,1981,43.53499984741211
aus,m,total,1981,43.79800033569336
aus,m,youth,1981,14.538999557495117
aus,m,adult,1981,29.259000778198242
aus,f,total,1981,33.013999938964844
aus,f,youth,1981,18.738000869750977
aus,f,adult,1981,14.276000022888184
aus,mf,total,1982,92.84500122070312
aus,mf,youth,1982,36.680999755859375
aus,mf,adult,1982,56.16400146484375
aus,m,total,1982,55.402000427246094
aus,m,youth,1982,18.378999710083008
aus,m,adult,1982,37.02299880981445
aus,f,total,1982,37.44300079345703
aus,f,youth,1982,18.302000045776367
aus,f,adult,1982,19.141000747680664
aus,mf,total,1983,175.73599243164062
aus,mf,youth,1983,73.06800079345703
aus,mf,adult,1983,102.66799926757812
aus,m,total,1983,113.3759994506836
aus,m,youth,1983,41.96699905395508
aus,m,adult,1983,71.40899658203125
aus,f,total,1983,62.36000061035156
aus,f,youth,1983,31.10099983215332
aus,f,adult,1983,31.259000778198242
aus,mf,total,1984,198.8800048828125
aus,mf,youth,1984,75.62999725341797
aus,mf,adult,1984,123.25
aus,m,total,1984,134.12399291992188
aus,m,youth,1984,44.689998626708984
aus,m,adult,1984,89.43399810791016
aus,f,total,1984,64.75599670410156
aus,f,youth,1984,30.940000534057617
aus,f,adult,1984,33.816001892089844
aus,mf,total,1985,185.49000549316406
aus,mf,youth,1985,64.62999725341797
aus,mf,adult,1985,120.86000061035156
aus,m,total,1985,127.4800033569336
aus,m,youth,1985,37.42100143432617
aus,m,adult,1985,90.05899810791016
aus,f,total,1985,58.0099983215332
aus,f,youth,1985,27.208999633789062
aus,f,adult,1985,30.801000595092773
aus,mf,total,1986,169.2830047607422
aus,mf,youth,1986,54.50299835205078
aus,mf,adult,1986,114.77999877929688
aus,m,total,1986,114.41999816894531
aus,m,youth,1986,31.388999938964844
aus,m,adult,1986,83.03099822998047
aus,f,total,1986,54.862998962402344
aus,f,youth,1986,23.11400032043457
aus,f,adult,1986,31.749000549316406
aus,mf,total,1987,176.1269989013672
aus,mf,youth,1987,57.54199981689453
aus,mf,adult,1987,118.58499908447266
aus,m,total,1987,118.71199798583984
aus,m,youth,1987,32.77899932861328
aus,m,adult,1987,85.93299865722656
