country,sex,age_group,year,labour_force_000
aus,mf,total,1999,9312.6103515625
aus,mf,youth,1999,1796.154052734375
aus,mf,adult,1999,7516.4560546875
aus,m,total,1999,5261.06787109375
aus,m,youth,1999,935.3679809570312
aus,m,adult,1999,4325.7001953125
aus,f,total,1999,4051.5419921875
aus,f,youth,1999,860.7860107421875
aus,f,adult,1999,3190.756103515625
aus,mf,total,2000,9498.4873046875
aus,mf,youth,2000,1812.1429443359375
aus,mf,adult,2000,7686.34423828125
aus,m,total,2000,5321.97802734375
aus,m,youth,2000,940.5339965820312
aus,m,adult,2000,4381.44384765625
aus,f,total,2000,4176.5087890625
aus,f,youth,2000,871.6090087890625
aus,f,adult,2000,3304.89990234375
aus,mf,total,2001,9666.77734375
aus,mf,youth,2001,1849.3050537109375
aus,mf,adult,2001,7817.47216796875
aus,m,total,2001,5384.158203125
aus,m,youth,2001,958.1209716796875
aus,m,adult,2001,4426.037109375
aus,f,total,2001,4282.619140625
aus,f,youth,2001,891.1840209960938
aus,f,adult,2001,3391.43505859375
aus,mf,total,2002,9815.263671875
aus,mf,youth,2002,1857.3389892578125
aus,mf,adult,2002,7957.9248046875
aus,m,total,2002,5458.0771484375
aus,m,youth,2002,964.9600219726562
aus,m,adult,2002,4493.1171875
aus,f,total,2002,4357.18701171875
aus,f,youth,2002,892.3790283203125
aus,f,adult,2002,3464.80810546875
aus,mf,total,2003,9988.740234375
aus,mf,youth,2003,1893.333984375
aus,mf,adult,2003,8095.40576171875
aus,m,total,2003,5517.31982421875
aus,m,youth,2003,976.7739868164062
aus,m,adult,2003,4540.5458984375
aus,f,total,2003,4471.419921875
aus,f,youth,2003,916.5599975585938
aus,f,adult,2003,3554.860107421875
aus,mf,total,2004,10103.41015625
aus,mf,youth,2004,1919.1689453125
aus,mf,adult,2004,8184.244140625
aus,m,total,2004,5592.0078125
aus,m,youth,2004,989.0709838867188
aus,m,adult,2004,4602.93701171875
aus,f,total,2004,4511.40478515625
aus,f,youth,2004,930.0980224609375
aus,f,adult,2004,3581.306884765625
aus,mf,total,2005,10404.2197265625
aus,mf,youth,2005,1969.3609619140625
aus,mf,adult,2005,8434.8623046875
aus,m,total,2005,5722.50390625
aus,m,youth,2005,1018.1380004882812
aus,m,adult,2005,4704.3662109375
aus,f,total,2005,4681.72021484375
aus,f,youth,2005,951.2230224609375
aus,f,adult,2005,3730.4970703125
aus,mf,total,2006,10632.7197265625
aus,mf,youth,2006,2003.5560302734375
aus,mf,adult,2006,8629.1611328125
aus,m,total,2006,5831.72314453125
aus,m,youth,2006,1037.866943359375
aus,m,adult,2006,4793.85595703125
aus,f,total,2006,4800.994140625
aus,f,youth,2006,965.6890258789062
aus,f,adult,2006,3835.304931640625
aus,mf,total,2007,10911.8798828125
aus,mf,youth,2007,2045.123046875
aus,mf,adult,2007,8866.75390625
aus,m,total,2007,5973.81689453125
aus,m,youth,2007,1058.364013671875
aus,m,adult,2007,4915.453125
aus,f,total,2007,4938.06005859375
aus,f,youth,2007,986.7589721679688
aus,f,adult,2007,3951.301025390625
aus,mf,total,2008,11205.6396484375
aus,mf,youth,2008,2094.9580078125
aus,mf,adult,2008,9110.6796875
aus,m,total,2008,6122.59912109375
aus,m,youth,2008,1089.759033203125
aus,m,adult,2008,5032.83984375
aus,f,total,2008,5083.0390625
aus,f,youth,2008,1005.198974609375
aus,f,adult,2008,4077.840087890625
aus,mf,total,2009,11441.8203125
aus,mf,youth,2009,2089.89208984375
aus,mf,adult,2009,9351.927734375
aus,m,total,2009,6234.16015625
aus,m,youth,2009,1089.718994140625
aus,m,adult,2009,5144.44091796875
aus,f,total,2009,5207.6591796875
aus,f,youth,2009,1000.1729736328125
aus,f,adult,2009,4207.48583984375
aus,mf,total,2010,11628.23046875
aus,mf,youth,2010,2083.887939453125
aus,mf,adult,2010,9544.3388671875
aus,m,total,2010,6343.30322265625
aus,m,youth,2010,1083.240966796875
aus,m,adult,2010,5260.06298828125
aus,f,total,2010,5284.9228515625
aus,f,youth,2010,1000.64697265625
aus,f,adult,2010,4284.27587890625
aus,mf,total,2011,11815.2099609375
aus,mf,youth,2011,2078.31005859375
aus,mf,adult,2011,9736.900390625
aus,m,total,2011,6423.52001953125
aus,m,youth,2011,1070.3900146484375
aus,m,adult,2011,5353.1298828125
aus,f,total,2011,5391.68994140625
aus,f,youth,2011,1007.9199829101562
aus,f,adult,2011,4383.77001953125
aus,mf,total,2012,11972.5
aus,mf,youth,2012,2072.85009765625
aus,mf,adult,2012,9899.650390625
aus,m,total,2012,6497.5498046875
aus,m,youth,2012,1069.5400390625
aus,m,adult,2012,5428.009765625
aus,f,total,2012,5474.9501953125
aus,f,youth,2012,1003.3099975585938
aus,f,adult,2012,4471.64013671875
aus,mf,total,2013,12145.76953125
aus,mf,youth,2013,2067.919921875
aus,mf,adult,2013,10077.849609375
aus,m,total,2013,6583.33984375
aus,m,youth,2013,1065.43994140625
aus,m,adult,2013,5517.89990234375
aus,f,total,2013,5562.43017578125
aus,f,youth,2013,1002.47998046875
aus,f,adult,2013,4559.9501953125
aus,mf,total,2014,12309.76953125
aus,mf,youth,2014,2074.800048828125
aus,mf,adult,2014,10234.9697265625
aus,m,total,2014,6657.259765625
aus,m,youth,2014,1066.010009765625
aus,m,adult,2014,5591.25
aus,f,total,2014,5652.509765625
aus,f,youth,2014,1008.7899780273438
aus,f,adult,2014,4643.72021484375
aut,mf,total,1994,3788.152099609375
aut,mf,youth,1994,629.2039794921875
aut,mf,adult,1994,3158.947998046875
aut,m,total,1994,2150.01904296875
aut,m,youth,1994,327.49798583984375
aut,m,adult,1994,1822.52099609375
aut,f,total,1994,1638.133056640625
aut,f,youth,1994,301.70599365234375
aut,f,adult,1994,1336.427001953125
aut,mf,total,1995,3808.89208984375
aut,mf,youth,1995,593.89697265625
aut,mf,adult,1995,3214.9951171875
aut,m,total,1995,2165.636962890625
aut,m,youth,1995,315.697998046875
aut,m,adult,1995,1849.93896484375
aut,f,total,1995,1643.2550048828125
aut,f,youth,1995,278.1990051269531
aut,f,adult,1995,1365.0560302734375
aut,mf,total,1996,3772.47509765625
aut,mf,youth,1996,569.0650024414062
aut,mf,adult,1996,3203.409912109375
aut,m,total,1996,2143.64501953125
aut,m,youth,1996,301.7439880371094
aut,m,adult,1996,1841.9010009765625
aut,f,total,1996,1628.8299560546875
aut,f,youth,1996,267.3210144042969
aut,f,adult,1996,1361.509033203125
aut,mf,total,1997,3780.14208984375
aut,mf,youth,1997,549.5009765625
