country,sex,age_group,year,long_term_unemployment_rate
aus,f,adult,1995,2.0
aus,mf,total,1996,2.5
aus,mf,youth,1996,3.0
aus,mf,adult,1996,2.299999952316284
aus,m,total,1996,2.799999952316284
aus,m,youth,1996,3.299999952316284
aus,m,adult,1996,2.5999999046325684
aus,f,total,1996,2.0
aus,f,youth,1996,2.5999999046325684
aus,f,adult,1996,1.899999976158142
aus,mf,total,1997,2.700000047683716
aus,mf,youth,1997,3.5
aus,mf,adult,1997,2.5
aus,m,total,1997,3.0
aus,m,youth,1997,4.099999904632568
aus,m,adult,1997,2.700000047683716
aus,f,total,1997,2.200000047683716
aus,f,youth,1997,2.799999952316284
aus,f,adult,1997,2.0999999046325684
aus,mf,total,1998,2.5999999046325684
aus,mf,youth,1998,3.299999952316284
aus,mf,adult,1998,2.4000000953674316
aus,m,total,1998,2.9000000953674316
aus,m,youth,1998,3.5
aus,m,adult,1998,2.799999952316284
aus,f,total,1998,2.0999999046325684
aus,f,youth,1998,3.0
aus,f,adult,1998,1.899999976158142
aus,mf,total,1999,2.200000047683716
aus,mf,youth,1999,2.5999999046325684
aus,mf,adult,1999,2.0999999046325684
aus,m,total,1999,2.5
aus,m,youth,1999,2.799999952316284
aus,m,adult,1999,2.4000000953674316
aus,f,total,1999,1.7999999523162842
aus,f,youth,1999,2.299999952316284
aus,f,adult,1999,1.600000023841858
aus,mf,total,2000,1.7999999523162842
aus,mf,youth,2000,2.0999999046325684
aus,mf,adult,2000,1.7000000476837158
aus,m,total,2000,2.0999999046325684
aus,m,youth,2000,2.4000000953674316
aus,m,adult,2000,2.0
aus,f,total,2000,1.399999976158142
aus,f,youth,2000,1.7999999523162842
aus,f,adult,2000,1.399999976158142
aus,mf,total,2001,1.600000023841858
aus,mf,youth,2001,2.0999999046325684
aus,mf,adult,2001,1.5
aus,m,total,2001,1.7999999523162842
aus,m,youth,2001,2.299999952316284
aus,m,adult,2001,1.7000000476837158
aus,f,total,2001,1.399999976158142
aus,f,youth,2001,1.7999999523162842
aus,f,adult,2001,1.2000000476837158
aus,mf,total,2002,1.399999976158142
aus,mf,youth,2002,1.7000000476837158
aus,mf,adult,2002,1.399999976158142
aus,m,total,2002,1.7000000476837158
aus,m,youth,2002,2.0
aus,m,adult,2002,1.600000023841858
aus,f,total,2002,1.100000023841858
aus,f,youth,2002,1.5
aus,f,adult,2002,1.100000023841858
aus,mf,total,2003,1.2999999523162842
aus,mf,youth,2003,1.5
aus,mf,adult,2003,1.2000000476837158
aus,m,total,2003,1.5
aus,m,youth,2003,1.7999999523162842
aus,m,adult,2003,1.399999976158142
aus,f,total,2003,1.0
aus,f,youth,2003,1.100000023841858
aus,f,adult,2003,1.0
aus,mf,total,2004,1.100000023841858
aus,mf,youth,2004,1.399999976158142
aus,mf,adult,2004,1.100000023841858
aus,m,total,2004,1.2000000476837158
aus,m,youth,2004,1.600000023841858
aus,m,adult,2004,1.2000000476837158
aus,f,total,2004,1.0
aus,f,youth,2004,1.2000000476837158
aus,f,adult,2004,0.8999999761581421
aus,mf,total,2005,0.8999999761581421
aus,mf,youth,2005,1.100000023841858
aus,mf,adult,2005,0.8999999761581421
aus,m,total,2005,1.0
aus,m,youth,2005,1.2000000476837158
aus,m,adult,2005,1.0
aus,f,total,2005,0.800000011920929
aus,f,youth,2005,1.0
aus,f,adult,2005,0.800000011920929
aus,mf,total,2006,0.8999999761581421
aus,mf,youth,2006,1.100000023841858
aus,mf,adult,2006,0.800000011920929
aus,m,total,2006,1.0
aus,m,youth,2006,1.2999999523162842
aus,m,adult,2006,0.8999999761581421
aus,f,total,2006,0.800000011920929
aus,f,youth,2006,0.8999999761581421
aus,f,adult,2006,0.699999988079071
aus,mf,total,2007,0.699999988079071
aus,mf,youth,2007,0.8999999761581421
aus,mf,adult,2007,0.6000000238418579
aus,m,total,2007,0.699999988079071
aus,m,youth,2007,0.8999999761581421
aus,m,adult,2007,0.6000000238418579
aus,f,total,2007,0.699999988079071
aus,f,youth,2007,0.8999999761581421
aus,f,adult,2007,0.6000000238418579
aus,mf,total,2008,0.6000000238418579
aus,mf,youth,2008,0.800000011920929
aus,mf,adult,2008,0.6000000238418579
aus,m,total,2008,0.6000000238418579
aus,m,youth,2008,0.800000011920929
aus,m,adult,2008,0.6000000238418579
aus,f,total,2008,0.6000000238418579
aus,f,youth,2008,0.699999988079071
aus,f,adult,2008,0.6000000238418579
aus,mf,total,2009,0.800000011920929
aus,mf,youth,2009,1.100000023841858
aus,mf,adult,2009,0.800000011920929
aus,m,total,2009,0.8999999761581421
aus,m,youth,2009,1.2000000476837158
aus,m,adult,2009,0.800000011920929
aus,f,total,2009,0.800000011920929
aus,f,youth,2009,0.8999999761581421
aus,f,adult,2009,0.699999988079071
aus,mf,total,2010,1.0
aus,mf,youth,2010,1.5
aus,mf,adult,2010,0.8999999761581421
aus,m,total,2010,1.0
aus,m,youth,2010,1.7000000476837158
aus,m,adult,2010,0.8999999761581421
aus,f,total,2010,0.8999999761581421
aus,f,youth,2010,1.2000000476837158
aus,f,adult,2010,0.800000011920929
aus,mf,total,2011,1.0
aus,mf,youth,2011,1.5
aus,mf,adult,2011,0.8999999761581421
aus,m,total,2011,1.0
aus,m,youth,2011,1.7000000476837158
aus,m,adult,2011,0.800000011920929
aus,f,total,2011,1.0
aus,f,youth,2011,1.2000000476837158
aus,f,adult,2011,0.8999999761581421
aus,mf,total,2012,1.0
aus,mf,youth,2012,1.600000023841858
aus,mf,adult,2012,0.8999999761581421
aus,m,total,2012,1.0
aus,m,youth,2012,1.899999976158142
aus,m,adult,2012,0.8999999761581421
aus,f,total,2012,0.8999999761581421
aus,f,youth,2012,1.2000000476837158
aus,f,adult,2012,0.8999999761581421
aus,mf,total,2013,1.100000023841858
aus,mf,youth,2013,1.7000000476837158
aus,mf,adult,2013,0.8999999761581421
aus,m,total,2013,1.100000023841858
aus,m,youth,2013,2.0
aus,m,adult,2013,1.0
aus,f,total,2013,1.0
aus,f,youth,2013,1.399999976158142
aus,f,adult,2013,0.8999999761581421
aus,mf,total,2014,1.2999999523162842
aus,mf,youth,2014,2.299999952316284
aus,mf,adult,2014,1.100000023841858
aus,m,total,2014,1.399999976158142
aus,m,youth,2014,2.799999952316284
aus,m,adult,2014,1.100000023841858
aus,f,total,2014,1.2999999523162842
aus,f,youth,2014,1.899999976158142
aus,f,adult,2014,1.100000023841858
aut,mf,total,1994,1.0
aut,mf,youth,1994,0.20000000298023224
aut,mf,adult,1994,1.2000000476837158
aut,m,total,1994,1.0
aut,m,youth,1994,0.20000000298023224
aut,m,adult,1994,1.2000000476837158
aut,f,total,1994,1.100000023841858
aut,f,youth,1994,0.20000000298023224
