country,sex,age_group,year,total_unemployed_000
brb,m,total,2000,5.300000190734863
brb,f,total,2000,7.5
brb,mf,total,2001,14.100000381469727
brb,m,total,2001,5.900000095367432
brb,f,total,2001,8.199999809265137
brb,mf,total,2004,14.024999618530273
brb,mf,total,2005,13.324999809265137
brb,mf,total,2006,12.524999618530273
brb,mf,total,2007,10.649999618530273
brb,mf,total,2008,11.675000190734863
brb,mf,total,2009,14.225000381469727
brb,mf,total,2010,15.300000190734863
brb,mf,total,2011,16.174999237060547
brb,mf,total,2012,16.399999618530273
brb,m,total,2012,7.900000095367432
brb,f,total,2012,8.399999618530273
blr,mf,total,2009,40.316001892089844
blr,m,total,2009,17.31800079345703
blr,f,total,2009,22.99799919128418
blr,mf,total,2010,33.10499954223633
blr,m,total,2010,15.704000473022461
blr,f,total,2010,17.400999069213867
blr,mf,total,2011,28.191999435424805
blr,m,total,2011,12.944999694824219
blr,f,total,2011,15.246999740600586
blr,mf,total,2012,24.944000244140625
blr,m,total,2012,12.970999717712402
blr,f,total,2012,11.972999572753906
blr,mf,total,2013,20.958999633789062
blr,m,total,2013,12.456000328063965
blr,f,total,2013,8.503000259399414
bel,mf,total,1983,450.70001220703125
bel,mf,youth,1983,162.8000030517578
bel,mf,adult,1983,287.8999938964844
bel,m,total,1983,197.10000610351562
bel,m,youth,1983,69.0
bel,m,adult,1983,128.10000610351562
bel,f,total,1983,253.60000610351562
bel,f,youth,1983,93.80000305175781
bel,f,adult,1983,159.8000030517578
bel,mf,total,1984,466.79998779296875
bel,mf,youth,1984,164.39999389648438
bel,mf,adult,1984,302.3999938964844
bel,m,total,1984,196.60000610351562
bel,m,youth,1984,69.5
bel,m,adult,1984,127.0999984741211
bel,f,total,1984,270.20001220703125
bel,f,youth,1984,94.9000015258789
bel,f,adult,1984,175.3000030517578
bel,mf,total,1985,448.6000061035156
bel,mf,youth,1985,149.3000030517578
bel,mf,adult,1985,299.29998779296875
bel,m,total,1985,181.3000030517578
bel,m,youth,1985,57.599998474121094
bel,m,adult,1985,123.69999694824219
bel,f,total,1985,267.29998779296875
bel,f,youth,1985,91.69999694824219
bel,f,adult,1985,175.60000610351562
bel,mf,total,1986,448.0
bel,mf,youth,1986,133.60000610351562
bel,mf,adult,1986,314.3999938964844
